Time, Min, Med, Max
07-29_1100,2.87,3.35,38.07
07-29_1130,2.82,3.30,38.03
07-29_1200,2.89,3.34,37.97
07-29_1230,2.92,3.19,37.96
07-29_1300,2.94,3.25,37.89
07-29_1330,2.95,3.23,37.86
07-29_1400,3.03,3.27,38.03
07-29_1430,3.19,3.30,38.03
07-29_1500,2.57,3.37,38.04
07-29_1530,2.08,4.71,37.46
07-29_1600,2.88,3.37,40.09
